title,phone,emails,website,category,address,review_rating,review_count,instagram,facebook,linkedin
Cottage cafe by La Polo,081302 14666,,,Coffee shop,"46, Tolstoy Rd, Atul Grove Road, Connaught Place, New Delhi, Delhi 110001",4.200000,616,,,
Mysore Cafe,093126 46611,,,South Indian restaurant,"Thyagraj Marg Area, Teen Murti Marg Area, New Delhi, Delhi 110011",4.300000,5457,,,
The Blue Door Cafe,099100 05124,,,European restaurant,"#66, Khan Market 1st Floor, Entrance Middle Lane, New Delhi, Delhi 110003",4.200000,1343,,,
SOL Garden Cafe,,,,North Indian restaurant,"10, Sansad Marg, Janpath, Connaught Place, New Delhi, Delhi 110001",4.100000,807,,,
Bloom Cafe and Cakery,096500 18246,,,Cafe,"Shop No: 70B, Ground Floor, Subramania Bharti Marg, Khan Market, Rabindra Nagar, New Delhi, Delhi 110003",4.200000,293,,,
Cafe De Flora,088829 27513,,,Restaurant,"Shop No-24 25, Cafe De Flora, Santushti Shopping Complex, opp. Samrat Hotel, New Delhi, Delhi 110021",4.300000,2093,,,
Kala Cafe,,,,Cafe,"Indira Gandhi Nat'l Centre For The Arts, Maan Singh Rd, near Andhra Bhavan, Central Secretariat, Janpath, Kartavya Path, New Delhi, Delhi 110001",3.800000,1193,,,
SIP THE KICK - Best coffee Shops in Delhi,087960 63620,,,Cafe,"4210 GF Hotel Namaste Hindustan Tel Mandi Chowk Paharganj, opposite New Delhi, Railway Station, New Delhi, Delhi 110055",4.800000,65,,,
Madras Coffee House,011 2336 3074,,,Restaurant,"P-5/90, Connaught Cir, Block P, Connaught Place, New Delhi, Delhi 110001",4.100000,4434,,,
Cafe MRP,099904 20628,,,Bar,"C-39, First Floor Radial Road 5 Opp. Odeon Cinema, Block C, Connaught Place, New Delhi, Delhi 110001",4.000000,11074,,,
Oh My God Cafe,095990 64236,,,Bar,"F-14/ 15, Block F, Connaught Place, New Delhi, Delhi 110001",4.000000,2731,,,
Roof Top Cafe Transport Bhawan,082877 22804,,,Restaurant,"Gokul Nagar, Sansad Marg Area, New Delhi, Delhi 110001",4.300000,35,,,
Andhra Cafe,070110 51919,,,South Indian restaurant,"South Ave, near CGHS Dispensary, Willingdon Crescent, President's Estate, New Delhi, Delhi 110011",4.400000,232,,,
Coffee Shop,011 2334 0070,,,Coffee shop,"The Hotel Janpath, Janpath Rd, Janpath, Connaught Place, New Delhi, Delhi 110001",4.600000,55,,,
cafe hawkers,082877 23847,,,Chinese restaurant,"L22, Block L, Connaught Place, New Delhi, Delhi 110001",4.200000,1269,,,
The Immigrant Café,099993 11224,,,Bar & grill,"B-45, First Floor, Inner Circle, Connaught Place, New Delhi, India, New Delhi, Delhi 110001",3.900000,2385,,,
chai 24/7,,,,Cafe,"H 7, chai 24/7, H-Block, Middle Cir, opposite H&M, Block H, Connaught Place, New Delhi, Delhi 110001",4.500000,830,,,
Diggin,095607 56310,,,Italian restaurant,"Bikaner House, Pandara Flats, India Gate, New Delhi, Delhi 110003",4.400000,2756,,,
Coffee-Home,,,,Coffee shop,"262 BK, Baba Kharak Singh Rd, Connaught Place, New Delhi, Delhi 110001",4.000000,5723,,,
Krishna Rooftop Cafe,093102 73053,,,Cafe,"Top Floor, Krishna Rooftop Cafe, Tooti Chowk, 659, Main Bazar Rd, Bazar Sangatrashan, Main Bazar, Kaseru Walan, Paharganj, New Delhi, Delhi 110055",4.200000,520,,,
Dilli Coffee Adda,,,,Coffee shop,"60/17, Dilli Coffee Adda, Bada Bazar Rd, Old Rajinder Nagar, Rajinder Nagar, New Delhi, Delhi, 110060",4.700000,47,,,
The Chatter House,089290 00262,,,Irish pub,"58 1st & 2nd Floor, Khan Market, New Delhi, Delhi 110003",4.200000,2254,,,
Cafe Festa,098118 13016,,,Restaurant,"1832, Laxmi Narain Street, opp. Cottage Yes Please, Chuna Mandi, Paharganj, New Delhi, Delhi 110055",4.600000,657,,,
Josie's Coffee House,096677 79071,,,Restaurant,"Shop No. 3, Ground Floor, Josie's Coffee House, Central, beside La Pino's Pizza, Old Rajender Nagar market, Block 55, Rajinder Nagar, New Delhi, Delhi, 110060",4.200000,755,,,
"Delhi Cafe, Urban By Nature (Under Pass)",,,,Cafe,"Maharao Krishna Marg, Bahadur Shah Zafar Marg, Balmiki Basti, Vikram Nagar, New Delhi, Delhi, 110002",4.300000,35,,,
Latitude 28,078279 34134,,,Italian restaurant,"Shop No. 9, Second Floor, above The Goodearth Store, Khan Market, New Delhi, Delhi 110003",4.300000,295,,,
Khan Market,,,,Market,"Ground Floor, Khan Market, 55a, Khan Market, Rabindra Nagar, New Delhi, Delhi 110003",4.400000,67570,,,
Sam's Cafe,098110 29125,,,Cafe,"Main Bazar Rd, Bazar Sangatrashan, Chuna Mandi, Paharganj, New Delhi, Delhi 110055",3.900000,1172,,,
Pindi Restaurant Delhi,098187 39131,,,North Indian restaurant,"16, Pandara Rd, Pandara Flats, Market, New Delhi, Delhi 110003",4.200000,3455,,,
