title,phone,emails,website,category,address,review_rating,review_count,instagram,facebook,linkedin
Triveni Terrace Cafe,099715 66904,,https://redcedarhospitality.com/,Cafe,"205, Tansen Marg, Opp. FICCI Auditorium, Todermal Road Area, Mandi House, New Delhi, Delhi 110001",4.400000,6616,https://www.instagram.com/fromourtables,https://www.facebook.com/fromourtables,https://www.linkedin.com/company/red-cedar-hospitality
United Coffee House,011 2341 1697,,http://unitedcoffeehouse.in/,Mughlai restaurant,"Inner Cir, E-15, Block E, Connaught Place, New Delhi, Delhi 110001",4.200000,11537,https://www.instagram.com/theunitedcateringservices,,
Cafe Delhi Heights,097110 34033,,https://stores.cafedelhiheights.com/store-pages/cafe-delhi-heights-janpath-new-delhi/,Cafe,"68/1, First Floor, Cafe Delhi Heights, Janpath Rd, Atul Grove Road, Janpath, Connaught Place, New Delhi, Delhi 110001",4.200000,4033,,,
Cine Tree Cafe,,,https://cinetreecafe.com/,Cafe,"Rafi Marg, behind RBI Bank Inside Constitution Club of India, Sansad Marg Area, New Delhi, Delhi 110001",4.300000,1851,https://www.instagram.com/cinetreecafe,https://www.facebook.com/cinetreecafe,
Cottage cafe by La Polo,081302 14666,,,Coffee shop,"46, Tolstoy Rd, Atul Grove Road, Connaught Place, New Delhi, Delhi 110001",4.200000,616,,,
Tree Of Life Cafe,088261 39339,,https://wa.me/918826139339,Cafe,"Shop No. 17, Tree Of Life Cafe, building, JANPATH BHAWAN FAMOUS BOOK STORE, Janpath, Connaught Place, New Delhi, Delhi 110001",4.900000,20,https://www.instagram.com/whatsapp,https://www.facebook.com/brand,
Diggin Cafe,083779 11511,"605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, 8c4075d5481d476e945486754f783364@sentry.io, 18d2f96d279149989b95faf0a4b41882@sentry-next.wixpress.com, e0b4d631da7b4200828051f7f9c783e3@sentry-next.wixpress.com, 5d1795a2db124a268f1e1bd88f503500@sentry.wixpress.com",https://www.diggin.co.in/,Restaurant,"Santushti Shopping Complex, 11, Lok Kalyan Marg, opp. to Samrat Hotel, Chanakyapuri, New Delhi, Delhi, 110021",4.400000,17009,https://www.instagram.com/diggincafe,https://www.facebook.com/diggincafe,
The Big Chill Cafe,011 4175 7533,,http://www.thebigchillonline.com/,Italian restaurant,"35, Khan Market, Rabindra Nagar, New Delhi, Delhi 110003",4.500000,10191,,,
Mysore Cafe,093126 46611,,,South Indian restaurant,"Thyagraj Marg Area, Teen Murti Marg Area, New Delhi, Delhi 110011",4.300000,5457,,,
Cafe Lota,078389 60787,,https://redcedarhospitality.com/,Cafe,"Gate No. 5, Cafe Lota, National Crafts Museum, Bhairon Marg, Pragati Maidan, New Delhi, Delhi 110001",4.400000,4581,https://www.instagram.com/fromourtables,https://www.facebook.com/fromourtables,https://www.linkedin.com/company/red-cedar-hospitality
