title,phone,emails,website,category,address,review_rating,review_count
IMI MULTISPECIALITY HOSPITAL,095845 94102,,,Hospital,"Raipur-Bhilai-Durg Expy, Khursipar, Bhilai, Chhattisgarh 490001",2.800000,30
Dr. Kirti Kaura,098261 29949,,,Gynecologist,"Mother And Child Care Clinic, Shastri Market, C/O, Nandini Rd, opposite Uttam Talkies, next to Akhtar Pathology, power house, Janjgiri, Bhilai, Chhattisgarh 490011",4.600000,1247
Dr vinay rajwade,070003 03907,,,Hospital,"power house, Janjgiri, Bhilai, Chhattisgarh 490011",5.000000,153
Dr. Hema Patel Ayurveda Clinic | Maharaja Chowk Durg,081039 70904,,,Ayurvedic clinic,"Maharaja Chowk, Zone 1, Durg, Chhattisgarh 491001",5.000000,57
"Jain Orthopaedic and Diagnostic Centre Dr S.K. Jain, Dr Prerna Jain",099936 98433,,,Orthopedic clinic,"23, Krishna Medical Complex, Shastri Market, Nandini Rd, near Akhtar Pathology Lab, power house, Bhilai, Chhattisgarh 490011",4.700000,390
Dr Alok Dixit Clinic,083495 31888,,,Skin care clinic,"696H+H77 Dr Alok Dixit Clinic, Nandini Rd, Janjgiri, Bhilai, Chhattisgarh 490001",3.100000,106
SAI BABA EYE HOSPITAL,074407 77771,,,Hospital,"A/32, Nandini Rd, near Uttam Talkies, power house, Janjgiri, Bhilai, Chhattisgarh 490001",4.700000,1019
Dr Suman Rao Clinic,077730 10928,,,Nephrologist,"8, 9, Dr Suman Rao Clinic, Shastri Market, Power House, Janjgiri, Bhilai, Chhattisgarh 490011",4.600000,28
"Skin Haven – Best Skin, Hair & Aesthetic Dermatology Clinic in Durg-Bhilai",062683 27733,,,Dermatologist,"Arihant medical store, sobhagya complex, near new bus stand, Durg, Chhattisgarh 491001",4.600000,92
Vedanshi Dental Clinic,,,,Dental clinic,"Masjid Road, Zone III, Zone 3, Khursipar, Bhilai, Chhattisgarh 490011",5.000000,44
Dr. Ahmed's Clinic,090988 89899,,,Sexologist,"Bus Stand, Great Eastern Rd, beside Rajesh Travels, power house, Janjgiri, Bhilai, Chhattisgarh 490001",5.000000,4
Mishra Multispeciality Homoeopathy,098271 59306,,,Medical clinic,"Raipur-Bhilai-Durg Expy, Bajrang para, Bhilai, Chhattisgarh 490021",4.800000,11
Dr. Rajeev Kaura,081090 48521,,,Pediatrician,"C/O-Mother And Child Care Clinic, Nandini Rd, next to Akhtar Pathology, power house, Shastri Market, Bhilai, Chhattisgarh 490011",4.400000,99
Dr. Rakesh chaba orthopedic & Dr. Rita chaba cosmetic centre &,0788 403 9304,,,Dermatologist,"696H+GFM Dr. Rakesh chaba orthopedic & Dr. Rita chaba cosmetic centre &, Nandini Rd, Janjgiri, Bhilai, Chhattisgarh 490011",4.200000,5
Nand-ansh pulmo-maternity clinic,,,,Gynecologist,"Maharaja Chowk, Potiya Rd, in front of lala Gupchup, Adarsh Nagar, Durg, Chhattisgarh 491001",5.000000,2
The Skin & Soul Clinic,093406 02453,,,Doctor,"Landmark- Yashoda Nandan Hospital, Gurudwara road, Station Road, beside Amit Medical Store, Durg, Chhattisgarh 491001",5.000000,30
soni dental clinic सोनी दंत चिकित्सालय,,,,Dental clinic,"shastri Market Nandani Road Bhilai, near Uttam Talkeis, Durg, Chhattisgarh 490011",5.000000,1
Dr. Liu's Dental Clinic & Implant Center,0788 229 6157,,,Dental clinic,"113, ravi shankar shukla market, Power House Flyover, Bhilai, Chhattisgarh 490001",4.200000,13
Krishna Medical Complex,,,,Pharmacy,"shastri market, 20 -25, Nandini Rd, near uttam talkies, power house, Janjgiri, Bhilai, Chhattisgarh 490011",4.600000,58
SHIVAY MEDICOSE & POLYCLINIC,062615 00981,,,Medical clinic,"Shop no.04, SHIVAY MEDICOSE & POLYCLINIC, Housing board Complex, opp. Dr Baghel Polyclinic, Pendarvani, Durg, Chhattisgarh 491001",5.000000,18
Dr. Sunil Nema,093998 24141,,,ENT Specialist,"Shop No.1, First Floor, Dr. Sunil Nema, Nandini Rd, near Uttam Talkies, near Krishna Medical And Uttam Talkies, power house, Janjgiri, Bhilai, Chhattisgarh 490011",4.500000,85
