title,phone,emails,website,category,address,review_rating,review_count,instagram,facebook,linkedin
"Ncc Computer Education Dwarka Mor-Computer Courses in Dwarka mor, Diploma in Computer in Dwarka, Diploma in Computer","098688 01628","","","Educational institution","Ncc Cpmputer Education- B-5/6 UGF-1 Gate, Gali No 2, near Metro Station Dwarka Mor, Sewak Park, Delhi, 110059","4.700000","192","","",""
"Gayatri Institute","083684 71403","","","Education center","D-233,Nawada Housing Complex, Dwarka Mor, Uttam Nagar, New Delhi, Delhi 110059","4.900000","122","","",""
"Vatsa Education Point","098109 11166","","","Education center","C-36, Nawada Housing Complex, Dwarka Mor, near Metro Pillar no 792, New Delhi, Delhi 110059","4.900000","39","","",""
"Institute for career education","097117 59552","","","Educational institution","Dwarka Mor, Uttam Nagar, Bhagwati Garden, Nawada, Delhi, 110059","5.000000","36","","",""
"Ambition Institute in Dwarka","093542 46065","","","Education center","Metro Station Dwarka Mor, A-55, 2nd Floor Sewak Park Dwarka, Uttam Nagar, Mor, New Delhi, Delhi 110059","4.900000","84","","",""
"Manisha education point","085275 69868","","","Education center","55 Feet Rd, Dwarka Mor, Sainik Nagar, Vipin Garden, Nawada, New Delhi, Delhi, 110059","5.000000","14","","",""
"DEEPANSHU INSTITUTE","099581 61530","","","College","Plot No 36 ,37 Sukar Bazar, NCR, Dwarka Mor, Bhagwati Garden, Delhi, 110059","4.800000","84","","",""
"Vidhya Bharti College & Open School","","","","Open university","Shop No.3, Vidhya Bharti College & Open School, Deewan Estate, Dwarka Mor, Bhagwati Garden, Dwarka, Delhi, 110059","4.600000","30","","",""
"SIDDHI ACADEMY DWARKA MOR","088518 66455","","","Educational institution","ATHRAV ONLINE, A-1, Uttam Nagar, Bhagwati Garden, Nawada, Delhi, 110059","4.900000","173","","",""
"Max International Training Institute & Higher Education","070658 13244","","","Educational institution","gate no 02, Max International Training Institute & Higher Education, A128 Sewak park Opposite pillor no 783 dwarkamoad Dwarkamoad metrostation, Delhi, 110059","4.900000","112","","",""
"Skills Academy","070117 00466","","","Training center","Metro Pillar Number 778, Skills Academy, A-8 1ST FLOOR Sewak Park near metro station Dwarka Mor, New Delhi, Delhi 110059","4.800000","157","","",""
"A.S. Buddha Academy","088002 54186","","","College","Pillor No 784, Dwarka Mor, New Delhi, Delhi 110059","4.600000","28","","",""
"chitra institute of management studies (CIMS)","095607 95538","","","Educational consultant","1 FLOR, chitra institute of management studies (CIMS), A 9, Dwarka Mor, Patel Garden, Sector 15 Dwarka, Dwarka, Delhi, 110078","5.000000","25","","",""
"Lipi The Library ( Library In Dwarka and Dwarka Mor)","084473 65159","","","Library","J29P+Q3H Lipi The Library ( Library In Dwarka and Dwarka Mor), Najafgarh Rd, Shanti Park, Dwarka, Delhi, 110059","4.900000","697","","",""
