title,phone,emails,website,category,address,review_rating,review_count,instagram,facebook,linkedin
Siksha Sarovar,,contact@sikshasarovar.com,https://www.sikshasarovar.com/,Educational institution,"adjoining Dwarka Mor, Dwarka Mor, Sainik Nagar, Vipin Garden, Dwarka, Mor, Delhi, 110059",5,23,,,https://www.linkedin.com/in/rohitjangra786
Gurukul Vidyapeeth Coaching Institute – Dwarka Mor,085271 23412,,https://gurukul-vidyapeeth.grexa.site/,Coaching Center,"Building No. 22, Gurukul Vidyapeeth Coaching Institute – Dwarka Mor, NSUT Campus Road, behind Main Bus Stand, Dwarka Mor, Block A, Sewak Park, Dwarka, New Delhi, Delhi, 110059",4.8,179,https://www.instagram.com/gurukulvidyapeeth.in,https://www.facebook.com/GURUKULVIDYAPEETH.IN,https://in.linkedin.com/in/gurukul-vidyapeeth-2211a2263
"Expertmind Edutech Best English| Computer| Web Development| Excel & MIS| E-Accounting & Tally classes & Institute, Dwarka Mor",085299 87676,,http://www.expertmindedutech.com/,Software Training Institute,"2nd floor, Expertmind Edutech Best English| Computer| Web Development| Excel & MIS| E-Accounting & Tally classes & Institute, Dwarka Mor, above Aggarwal sweets, near Dwarka Mor, Dwarka Mor, Uttam Nagar, Red light, Nawada, Delhi, 110059",4.9,184,,,
"Ncc Computer Education Dwarka Mor-Computer Courses in Dwarka mor, Diploma in Computer in Dwarka, Diploma in Computer",098688 01628,,,Educational institution,"Ncc Cpmputer Education- B-5/6 UGF-1 Gate, Gali No 2, near Metro Station Dwarka Mor, Sewak Park, Delhi, 110059",4.7,192,,,
Geetanjali Institute,070118 92552,info@geetanjalieducation.in,https://geetanjalieducation.in/,Educational consultant,"A-117 Ground Floor, Geetanjali Institute, More, near Metro Pillar No-782, Block A, Sewak Park, Dwarka, New Delhi, Delhi, 110059",4.8,108,https://www.instagram.com/geetanjalieducation_,https://www.facebook.com/geetanjalieducation,
Skillam Education and Technology,011 4506 6413,"Info@skillamedtech.in, skillamedtech@gmail.com",http://www.skillamedtech.in/,English language school,"METRO PILLAR NO. 796, Skillam Education and Technology, Dwarka Mor, PLOT NO. 456 1ST FLOOR, New Delhi, Delhi 110078",4.9,339,https://www.instagram.com/skillam_edtech,,https://www.linkedin.com/in/siddharth-singh10x
Edunova Academy - Industrial Training & Internship Delhi NCR,087087 53815,,http://www.edunovatechnology.in/,Educational institution,"1st floor, Edunova Academy - Industrial Training & Internship Delhi NCR, dwarka mor, metro station, plot no 73, near pillar no 778, Block C, Sewak Park, Dwarka, new delhi, Delhi, 110059",4.9,13,,,
Apex Academy Of Commerce,,,https://apex-academy-of-commerce.grexa.site/,Education center,"C-7, near Shiv Mandir, Dwarka Mor, Block B, Sewak Park, Dwarka, New Delhi, Delhi, 110059",5,66,,,
Gayatri Institute,083684 71403,,,Education center,"D-233,Nawada Housing Complex, Dwarka Mor, Uttam Nagar, New Delhi, Delhi 110059",4.9,122,,,
DGA Professional Institute,098715 99566,,https://dgaprofessionalinstitute.wordpress.com/,Software Training Institute,"Pillar No 781, DGA Professional Institute, Metro Station, Plot No. 1, 2nd Floor, above Grover Sweets, opposite Dwarka Mor, Dwarka Mor, New Delhi, Delhi 110059",4.7,167,,,
Vatsa Education Point,098109 11166,,,Education center,"C-36, Nawada Housing Complex, Dwarka Mor, near Metro Pillar no 792, New Delhi, Delhi 110059",4.9,39,,,
Jupiter Academy – English Speaking & Computer Institute,085060 14329,,https://jupiteracademy.in/,English language school,"Metro Pillar, Plot No. 13-14, Bhagwati Garden Rd, Dwarka Mor, Uttam Nagar, Bhagwati Garden, Nawada, New Delhi, Delhi, 110059",4.8,480,,,
