title,phone,emails,website,category,address,review_rating,review_count,instagram,facebook,linkedin
Sasson - The Global Kitchen & Bar,,,,Continental restaurant,"402, Magarpatta Rd, Magarpatta, Hadapsar, Pune, Maharashtra 411013",4.600000,1699,,,
TERITREE Restaurant,077740 85656,,,North Indian restaurant,"Survey No 158, Near Konark Bella Vista Bhosale Nagar, Shivaji Road, Off, Magarpatta Rd, Hadapsar, Pune, Maharashtra 411028",4.300000,4761,,,
SHREE RAM VEG,092842 16831,,,Restaurant,"Shop no 1/2, SHREE RAM VEG, sr no 150, Magarpatta Rd, Tilekar Vasti, Laxmi Vihar, Hadapsar, Pune, Maharashtra 411028",4.500000,432,,,
Kokkita Restaurant and Bar,073502 19595,,,North Indian restaurant,"Kokkita Restaurant, Tupe Patil Rd, near Samidha Gas, Malwadi, Hadapsar, Pune, Maharashtra 411028",4.000000,4736,,,
Kwality Family Resto Bar,079726 15627,,,North Indian restaurant,"Marvel Fuego Commercial Premises, Unit No 10,20,30, Ground Floor, Wing A, Survey No 137, Magarpatta Rd, Opposite Seasons Mal, Amanora Park Town, Hadapsar, Pune, Maharashtra 411036",4.100000,3832,,,
Royal Deck Multicuisine Restaurant and Bar Hadapsar Pune,070832 68181,,https://www.hotelmoistinpune.com/page/royal-deck/63ad0536df0363000187a4bd,Restaurant,"Aru Nagar, Bhosale Nagar, Hadapsar, Pune, Maharashtra 411028",4.400000,249,,,
BMG - Unplugged,077980 08866,,,Live music venue,"near Amanora Mall, Amanora Park Town, Hadapsar, Pune, Maharashtra 411028",4.200000,3257,,,
GRAND PUNJAB,073501 42727,,https://grandpunjab.godirekt.in/spark/app/#/mainpage,Punjabi restaurant,"DC Rd, Magarpatta, Hadapsar, Pune, Maharashtra 411013",4.200000,336,,,
Punjab Exotica (Amanora),095959 33366,,,North Indian restaurant,"Amanora Mall Ground Floor - West-Block Next To Azorte Amanora Town Centre, Mundwa -Kharadi Rd, Hadapsar, Pune, Maharashtra 411028",4.500000,1898,,,
Toscano,076193 20546,,https://toscano.world/,Italian restaurant,"Amanora Mall, EB FF-41, First Floor, East, Mundwa -Kharadi Rd, Amanora Park Town, Hadapsar, Pune, Maharashtra 411028",4.600000,1510,,,
MOURYA FOOD'S EXX PRESS VEG - NONVEG RESTAURANT,084828 80084,,,Indian restaurant,"Matru Smruti Complex, Malwadi, Hadapsar, Pune, Maharashtra 411028",4.100000,319,,,
Ba Vithhala Pure Veg Restaurant,099212 42424,,,Maharashtrian Restaurant,"Shop no 1, Ba Vithhala Pure Veg Restaurant, Amar Palace, Pune - Solapur Rd, near Janseva Bank ltd, Hadapsar Gaon, Hadapsar, Pune, Maharashtra 411028",4.100000,773,,,
The Cult - Terra | House,089562 82212,,https://theculthouse.in/catalog/38763,Restaurant,"Kad Wasti, Magarpatta, Hadapsar, Pune, Maharashtra 411013",4.100000,7429,,,
The Green Court Pure Veg,,,,Vegetarian restaurant,"Sr.No.168/14A, opp. Wisdom World School, Malwadi, Hadapsar, Pune, Maharashtra 411028",3.900000,1133,,,
Asia Kitchen By Mainland China,093705 79603,,https://www.speciality.co.in/,Asian restaurant,"Amanora Town Centre, Amanora Park Town, Hadapsar, Pune, Maharashtra 411028",4.100000,1400,,,
SUNRISE FAMILY RESTAURANT,095070 30009,,,Restaurant,"DC Rd, Magarpatta, Hadapsar, Pune, Maharashtra 411013",4.500000,194,,,
Pop Tates Seasons Mall,086557 34768,,,North Indian restaurant,"2nd floor, Pop Tates Seasons Mall, SEASONS MALL, Magarpatta, Hadapsar, Pune, Maharashtra 411013",4.500000,523,,,
Masoli Restaurant,098534 84896,,,Seafood restaurant,"Sr No. 210, Masoli Restaurant, Avdhoot Heights, Near, DP Rd, Malwadi, Hadapsar, Pune, Maharashtra 411028",4.100000,1898,,,
Pind Balluchi Amanora Mall,098219 01444,,https://www.pindballuchi.com/,Family restaurant,"2nd Floor, Pind Balluchi Amanora Mall, East Block, Mundwa -Kharadi Rd, Amanora Park Town, Hadapsar, Pune, Maharashtra 411028",4.600000,5485,,,
House of Bottles,097665 50611,,,Restaurant,"4th Floor, House of Bottles, SEASONS MALL, Magarpatta, Hadapsar, Pune, Maharashtra 411013",4.400000,693,,,
Swad-Amritsari,098812 15455,,,North Indian restaurant,"Shop No, Swad-Amritsari, BG 25, DC Rd, Magarpatta, Hadapsar, Pune, Maharashtra 411013",4.300000,111,,,
Annapurna Pure Veg,070280 88526,,https://annapurnarestaurant.org/,Vegetarian restaurant,"Vidya vihar society, DP Rd, 411028, near Marvila society, Hadapsar, Pune, Maharashtra 411028",4.200000,2454,,,
Utsavv A/C Family Restaurant & Bar,076202 02852,,,Family restaurant,"Survey No 162, Triveni Nagar, Pune - Solapur Road, Near Bhosale Park, Hadapsar, Pune, Maharashtra 411028",3.900000,2089,,,
The Tang,093712 50606,,,Asian restaurant,"near leisure town, Sadhunana Tupe Vasti, Malwadi, Hadapsar, Pune, Maharashtra 411028",4.600000,220,,,
